"Type","District or Type","School Name","Address","City","Grade","Zip Code","Phone","Website","Administrator"
"C","Charter","Highland Free School","510 S. Highland Ave.","Tucson","K-6",85719,"623-0104",,"Nick Sofka"
"C","Charter","Itzcalli Academy","52 W. Calle de las Tiendas","Green Valley","9-12",85614,"399-0135",,"Nestor Davala"
"C","Charter","Khalsa Montessori School","3701 E. River Rd.","Tucson","K-8",85718,"529-3611","http://khalsa.theriver.com","Nirvair Khalsa"
"C","Charter","Khalsa Montessori School","3244 E. Camden","Tucson","K-4",85716,"529-3611","http://khalsa.theriver.com","Nirvair Khalsa"
"C","Charter","La Paloma Academy","225 N. Country Club","Tucson","K-6",85716,"325-5566","http://www.lpatucson.org","Jackie Trujillo"
"C","Charter","La Paloma Academy","6188 E. Pima","Tucson","K-8",85712,"721-4205","http://www.lpatucson.org","Jackie Trujillo"
"C","Charter","La Paloma Academy","8140 E. Golf Links","Tucson","K-8",85730,"733-7373","http://www.lpatucson.org","Randy Musgrove"
"C","Charter","Lifelong Learning Academy","3295 W. Orange Grove Rd.","Tucson","K-6",85741,"219-4383","http://www.lifelonglearningacademy.com","Marylou Klem"
"C","Charter","Luz Academy","2797 N. Introspect Dr.","Tucson","9-12",85745,"807-5892","http://www.luzacademy.com","Robert Granado"
"C","Charter","Meta Academy High School","210 E. Broadway","Tucson","9",85701,"882-9144",,"Al Rumsey"
"C","Charter","Montessori Schoolhouse","1127 N. 6th Ave.","Tucson","K",85705,"622-8668",,"Regine Ebner"
"C","Charter","Montessori Schoolhouse","1301 E. Fort Lowell","Tucson","1-6",85719,"319-8668",,"Regine Ebner"
"C","Charter","Mountain Rose Academy","3686 W. Orange Grove Rd. #180","Tucson","9-12",85741,"229-1777","http://www.mountainroseacademy.com","Catherine Kinghorn"
"C","Charter","Nosotros Academy","440 N. Grande","Tucson","6-12",85745,"624-1023",,"Paul Felix"
"C","Charter","Old Pueblo Children's Academy","450 N. Pantano","Tucson","K-8",85710,"296-1600",,"Rhonda McCarthy"
"C","Charter","Pima Partnership School","1346 N. Stone","Tucson","9-12",85705,"326-2528 ext 100","http://www.thepartnership.us","John Powers,  Jr."
"C","Charter","Pima Vocational High School","2805 E. Ajo Way","Tucson","9-12, US",85713,"740-4626","http://www.pimavocationalhighschool.com","Gloria Proo"
"C","Charter","Pima Vocational High School","97 E. Congress","Tucson","9-12, US",85701,"903-0102","http://www.pimavocationalhighschool.com","Gloria Proo"
"C","Charter","Pima Vocational High School","2600 W. Sweetwater","Tucson","9-12, US",85705,"407-3769","http://www.pimavocationalhighschool.com","Gloria Proo"
"C","Charter","PPEP TEC-Celestino Fernandez Learning Center","1840 E. Benson Hwy.","Tucson","9-12",85714,"294-6997","http://www.ppep.org",
"C","Charter","PPEP TEC-John David Arnold Learning Center","4140 W. Ina, #118-119","Tucson","9-12",85741,"579-8560","http://www.ppep.org",
"C","Charter","PPEP TEC-Victor Soltero Learning Center","8230 E. 22nd. St, #101-105","Tucson","9-12",85710,"290-9167","http://www.ppep.org","Jennifer Trucksa"
"C","Charter","Presidio Schools","1695 E. Fort Lowell","Tucson","5-12",85719,"881-5222","http://www.presidiohighschool.com","Terry Garza  Tom Drexel"
"C","Charter","Satori School","3727 N. First Ave.","Tucson","2-6",85719,"293-7555","http://www.satorischool.org","Sherry Mulholland"
"C","Charter","School for Integrated Academics and Technologies","901 S. Campbell","Tucson","9-12",85719,"791-3016","http://www.siatech.org","Dave Gerber"
"C","Charter","Sonoran Science Academy","2255 W. Ina Rd.","Tucson","K-11",85741,"797-9836","http://www.sonoranacademy.org","Adem Oksuz"
"C","Charter","Southern Arizona Community Academy","2470 N. Tucson","Tucson","9-12",85716,"319-6113",,"Abelardo Cubillas, Jr."
"C","Charter","Southgate Academy","850 W. Valencia Rd.","Tucson","K-12",85706,"741-7900","http://www.southgateaz.org","Steve Henneberg"
"C","Charter","Southside Community School","2701 S. Campbell","Tucson","K-8",85713,"623-7102",,"Caroline F. Johnson"
"C","Charter","TAG Elementary","10129 E. Speedway","Tucson","K-7",85748,"296-0006",,"Ron Hom"
"C","Charter","Test","130 W Test Lane","Tucson","K-12",85701,"888-8888",,"Mr. Test"
"C","Charter","Toltecali Academy","251 W. Irvington","Tucson","9-12",85714,"807-7923","http://www.calliollin.com","Shannon Dineley"
"C","Charter","Transformational Learning Centers","2555 N. Stone","Tucson","K-12",85705,"628-1404","http://www.tlc-inc.org","Tina Giberti"
"C","Charter","Tucson Academy of Leadership and Arts","210 E. Broadway","Tucson","K-8",85701,"882-9144",,"Theresa DiPietro"
"C","Charter","Tucson Accelerated High School","7820 E. Wrightstown Rd.","Tucson","9-12",85715,"722-4721","http://www.leonagroupaz.com","Shannon Hughes"
"C","Charter","Tucson Country Day School","9239 E. Wrightstown Rd.","Tucson","K-7",85715,"296-0883","http://www.tcdcharterschool.com","Charlena Cutaia"
"C","Charter","Tucson International Academy","1230 E. Broadway","Tucson","K-8",85719,"792-3255","http://www.tucsoninternationalacademy.com","Jennifer Herrera"
"C","Charter","Tucson International Academy","1625 W. Valencia #109","Tucson","1-8",85746,"295-3944","http://www.tucsoninternationalacademy.com","Jennifer Herrera"
"C","Charter","Tucson Preparatory School","1525 N. Oracle Rd.","Tucson","US",85705,"622-4185",,"Jody Sullivan"
"C","Charter","Tucson Urban League Academy","2323 S. Park Ave.","Tucson","6-12",85713,"622-3651",,"Lourie O'Campo"
"C","Charter","Vision Charter School","5901 S. Calle Santa Cruz","Tucson","9-12",85709,"741-8419",,"Wilma Soroosh"
"C","Vail Unified School District","Civano Community School","10673 E. Mira Ln.","Tucson","K-6",85747,"731-3466","http://www.vail.k12.az.us/civano/index.html","Connie Erickson"
"C","Vail Unified School District","Vail High School","9040 S. Rita Rd.","Tucson","9-12",85747,"382-3200","http://www.vail.k12.az.us/vhs/index.html","John Strizich"
"D","Ajo Unified School District","Ajo School","111 Well Rd.","Ajo","PreK-12",85321,"387-5618","http://www.ajoschools.org/","Lina Miller"
"D","Altar Valley Elementary School District","Altar Valley Middle School","16350 W. Ajo Way","Tucson","5-8",85735,"822-9343","http://www.altarvalleyschools.org","John Holt"
"D","Altar Valley Elementary School District","Robles Elementary School","9875 S. Sasabe Rd.","Tucson","PreK-4",85736,"822-9418","http://www.altarvalleyschools.org","Theresa Leal-Holmes"
"D","Amphitheater Unified School District","Amphitheater High School","125 W. Yavapai Rd.","Tucson","9-12",85705,"696-5340","http://www.amphi.com/~ahs/","Patricia Harris"
"D","Amphitheater Unified School District","Amphitheater Middle School","315 E. Prince Rd.","Tucson","6-8",85705,"696-6230","http://www.amphi.com/schools/ams","Charles Bermudez"
"D","Amphitheater Unified School District","Canyon Del Oro High School","25 W. Calle Concordia","Tucson","9-12",85737,"696-5560","http://www.amphi.com/schools/cdo/","Michael Gemma"
"D","Amphitheater Unified School District","Copper Creek Elementary School","11620 N. Copper Springs","Tucson","K-5",85737,"696-6800","http://www.amphi.com/schools/coppercreek","Diana Walker"
"D","Amphitheater Unified School District","Coronado K-8 School","3401 E. Wilds Rd.","Tucson","K-8",85737,"696-6610","http://www.amphi.com/schools/coronado","Monica Nelson"
"D","Amphitheater Unified School District","Cross Middle School","1000 W. Chapala Dr.","Tucson","6-8",85704,"696-5920","http://www.amphi.com/~cross","Robert Vinyard"
"D","Amphitheater Unified School District","Donaldson Elementary School","2040 W. Omar Dr.","Tucson","K-5",85704,"696-6160","http://www.amphi.com/schools/donaldson","Anita Howard"
"D","Amphitheater Unified School District","Harelson Elementary School","826 W. Chapala Dr.","Tucson","K-6",85704,"696-6020","http://www.amphi.com/schools/harelson/","Andrew Heinermann"
"D","Amphitheater Unified School District","Holaway Elementary School","3500 N. Cherry Ave.","Tucson","K-5",85719,"696-6880","http://www.amphi.com/schools/holaway/","Ernest Galaz"
"D","Amphitheater Unified School District","Ironwood Ridge High School","2475 W. Naranja Dr.","Tucson","9-12",85742,"696-3902","http://www.amphi.com/schools/irhs","Sam McClung"
"D","Amphitheater Unified School District","Keeling Elementary School","2837 N. Los Altos","Tucson","K-5",85705,"696-6940","http://www.amphi.com/~keeling","Susan Haas"
"D","Amphitheater Unified School District","La Cima Middle School","5600 N. La Canada Dr.","Tucson","6-8",85704,"696-6730","http://www.amphi.com/schools/lacima","Gail Gault"
"D","Amphitheater Unified School District","Mesa Verde Elementary School","1661 W. Sage St.","Tucson","K-5",85704,"696-6090","http://www.amphi.com/~mesav","Foster Hepler"
"D","Amphitheater Unified School District","Nash Elementary School","515 W. Kelso","Tucson","K-5",85705,"696-6440","http://www.amphi.com/~nash","Alice Farley"
"D","Amphitheater Unified School District","Painted Sky Elementary School","12620 N. Woodburne Ave.","Tucson","K-5",85737,"696-3800","http://www.amphi.com/schools/paintedsky","Bruce Weigold"
"D","Amphitheater Unified School District","Prince Elementary School","125 E. Prince Rd.","Tucson","K-5",85705,"696-6350","http://www.amphi.com/~prince","Dondi Luce"
"D","Amphitheater Unified School District","Rillito Center","266 E. Pastime Rd.","Tucson","UE, US",85705,"696-6420",,"Linda Haller"
"D","Amphitheater Unified School District","Rio Vista Elementary School","1351 E. Limberlost","Tucson","K-6",85719,"696-5250","http://www.amphi.com/~riovista","Dianna Kuhn"
"D","Amphitheater Unified School District","Walker Elementary School","1750 W. Roller Coaster","Tucson","K-5",85704,"696-6510","http://www.amphi.com/schools/walker","Roseanne Lopez"
"D","Amphitheater Unified School District","Wilson K-8 School","2330 W. Glover Rd.","Tucson","K-8",85742,"696-5800","http://www.amphi.com/schools/wilson","Adrian Hannah"
"D","Catalina Foothills Unified School District","Canyon View Elementary School","5725 N. Sabino Canyon","Tucson","K-5",85750,"577-5335","http://www.cfsd.k12.az.us/~cvwww","Chris Ahearn"
"D","Catalina Foothills Unified School District","Catalina Foothills High School","4300 E. Sunrise","Tucson","9-12",85718,"577-5090","http://www.cfsd.k12.az.us/~cfhsweb","Wagner Van Vlack"
"D","Catalina Foothills Unified School District","Esperero Canyon Middle School","5801 N. Sabino Canyon","Tucson","6-8",85750,"577-5330","http://www.cfsd.k12.az.us/~ecwww","Brian Lorimer"
"D","Catalina Foothills Unified School District","Manzanita Elementary School","3000 E. Manzanita Ave.","Tucson","K-5",85718,"577-5320","http://www.cfsd.k12.az.us/~mzwww","Colleen Nichols"
"D","Catalina Foothills Unified School District","Orange Grove Middle School","1911 E. Orange Grove","Tucson","6-8",85718,"577-5315","http://www.cfsd.k12.az.us/~ogwww","Phil Woodall"
"D","Catalina Foothills Unified School District","Sunrise Drive Elementary School","5301 E. Sunrise Dr.","Tucson","K-5",85718,"577-5325","http://www.cfsd.k12.az.us/~sdswww","Julie Sherrill"
"D","Catalina Foothills Unified School District","Valley View Preschool","5281 W. Valley View Rd.","Tucson","PreK",85718,"577-5314","http://www.cfsd.k12.az.us/schools/vvps.html","Michele Leeder"
"D","Catalina Foothills Unified School District","Ventana Vista Elementary School","6085 N. Kolb Rd.","Tucson","K-5",85750,"577-5070","http://www.cfsd.k12.az.us/~vvwww","Mary Jo Conery"
"D","Catalina Unified School District","Catalina Foothills Alternative School","4980 N Sabino Canyon Rd.","Tucson","9-12",85750,"749-1577",,"Peggy Holt"
"D","Continental Elementary School District","Continental Elementary School","1991 E. White House Canyon Rd.","Green Valley","K-8",85614,"625-4581","http://www.continental.k12.az.us","Kenneth Brown"
"D","Flowing Wells Unified School District","Centennial Elementary School","2200 W. Wetmore","Tucson","K-6",85705,"690-2291","http://www.flowingwells.k12.az.us/Schools/Centennial.htm","Lynette Patton"
"D","Flowing Wells Unified School District","Flowing Wells Early Childhood Center","1444 W. Prince Rd.","Tucson","PreK-K",85705,"690-5657","http://www.flowingwells.k12.az.us/schools/fwecc.htm","Susan Olson-Shinn"
"D","Flowing Wells Unified School District","Flowing Wells High School","3725 N. Flowing Wells Rd.","Tucson","9-12",85705,"690-2399","http://www.flowingwells.k12.az.us/Schools/High_school.htm","Karyn Blair"
"D","Flowing Wells Unified School District","Flowing Wells Junior High School","4545 N. La Cholla Blvd.","Tucson","7-8",85705,"690-2314","http://www.flowingwells.k12.az.us/Schools/Junior_high.htm","John Black"
"D","Flowing Wells Unified School District","Hendricks Elementary School","3400 W. Orange Grove","Tucson","K-6",85741,"690-5601","http://www.flowingwells.k12.az.us/Schools/hendricks.htm","Deborah Schreiner"
"D","Flowing Wells Unified School District","Homer Davis Elementary School","4250 N. Romero Rd.","Tucson","K-6",85705,"690-2341","http://www.flowingwells.k12.az.us/Schools/Davis.htm","Brett Bonner"
"D","Flowing Wells Unified School District","Inscape Alternative School","1949 W. Gardner","Tucson","9-12",85705,"690-2380",,"Wes Birch"
"D","Flowing Wells Unified School District","Laguna Elementary School","5001 N. Shannon Rd.","Tucson","K-6",85705,"690-2361","http://www.flowingwells.k12.az.us/schools/laguna.htm","Cathy Carey"
"D","Flowing Wells Unified School District","Richardson Elementary School","6901 N. Camino de la Tierra","Tucson","K-6",85741,"690-2371","http://www.flowingwells.k12.az.us/schools/richardson.htm","Lyle Dunbar"
"D","Flowing Wells Unified School District","Sentinel Peak High School","1949 W. Gardner Ln.","Tucson","9-12",85705,"690-5656","http://www.flowingwells.k12.az.us/schools/opportunity.htm","Brenda Friedman"
"D","Flowing Wells Unified School District","Walter Douglas Elementary School","3302 N. Flowing Wells","Tucson","K-6",85705,"690-2351","http://www.flowingwells.k12.az.us/schools/douglas.htm","Manuel Valenzuela"
"D","Indian Oasis-Baboquivari Unified School District","Baboquivari High School","111 W. Main","Sells","9-12",85634,"383-6800",,"Leon Oosahwe"
"D","Indian Oasis-Baboquivari Unified School District","Baboquivari Middle School","111 W. Main","Sells","7-8",85634,"383-6800",,"Leon Oosahwe"
"D","Indian Oasis-Baboquivari Unified School District","Indian Oasis Intermediate School","State Route 86","Sells","4-8",85634,"383-2312","http://www.iobusd40.org/intermediate%20school.htm","Michael Bauschka"
"D","Indian Oasis-Baboquivari Unified School District","Indian Oasis Primary School","111 W. Main","Sells","K-3",85634,"383-6750","http://www.iobusd40.org/primary%20School.htm","Janine Prewitt"
"D","Indian Oasis-Baboquivari Unified School District","Topawa Intermediate School","Rte 19","Topawa","7-8",85639,"383-2312",,"Michael Buschka"
"D","Marana Unified School District","A.C.E.","11279 W. Grier Rd., Ste. 108","Marana","6-12",85653,"682-1014","http://www.maranausd.org/ACE","Lynne Prouty"
"D","Marana Unified School District","Butterfield Elementary School","3400 W. Massingale Rd.","Tucson","K-6",85741,"579-5000","http://butterfield.tucson.k12.az.us/butterfield/","Gayle Schmidt"
"D","Marana Unified School District","Coyote Trail Elementary School","8000 N Silverbell","Tucson","K-6",85743,"579-5105","http://www.maranausd.org/CTe/main.html","Dan Johnson"
"D","Marana Unified School District","DeGrazia Elementary School","5051 W. Overton Rd.","Tucson","K-6",85742,"579-4800","http://www.maranausd.org/DG","Julia Barwell"
"D","Marana Unified School District","Desert Winds Elementary School","12675 W. Rudasill Rd.","Tucson","K-3",85743,"616-4000","http://www.maranausd.org/DW","Denise Linsalata"
"D","Marana Unified School District","Estes Elementary School","11279 W. Grier Rd., Ste. 100","Marana","K-6",85653,"682-4738","http://www.maranausd.org/ee","Rocky Sugameli"
"D","Marana Unified School District","Ironwood Elementary School","3300 W. Freer Dr.","Tucson","K-6",85742,"579-5150","http://www.maranausd.org/ie","Jennifer Vemich"
"D","Marana Unified School District","Marana Career and Technical High School","11279 W. Grier Rd., Ste. 128","Marana","9-12",85653,"682-4773","http://www.maranausd.org/mcat","Stephanie Hillig"
"D","Marana Unified School District","Marana High School","12000 W. Emigh Rd.","Tucson","9-12",85743,"616-6400","http://www.maranausd.org/MHS","Jan Truitt"
"D","Marana Unified School District","Marana Middle School","11279 W. Grier Rd., Ste. 105","Marana","7-8",85653,"682-4730","http://www.maranausd.org/MMS","David Liss"
"D","Marana Unified School District","Mountain View High School","3901 W. Linda Vista Blvd.","Tucson","9-12",85742,"579-4400","http://www.maranausd.org/MVHS","Richard Faidley"
"D","Marana Unified School District","Picture Rocks Intermediate School","5875 N. Sanders Rd.","Tucson","4-6",85743,"616-3700","http://www.maranausd.org/PR/PRIHome.html","Patricia Cadigan"
"D","Marana Unified School District","Quail Run Elementary School","4600 W. Cortaro Farms Rd.","Tucson","K-6",85742,"579-4700","http://www.maranausd.org/QR","Pennie Harcus"
"D","Marana Unified School District","Roadrunner Elementary School","16651 W. Calle Carmela","Marana","K-6",85653,"616-6363","http://www.maranausd.org/RR","Myke Hitchcock"
"D","Marana Unified School District","Thornydale Elementary School","7751 N. Oldfather Rd.","Tucson","K-6",85741,"579-4900","http://www.maranausd.org/TE","Lynnette Brunderman"
"D","Marana Unified School District","Tortolita Middle School","4101 W. Hardy Rd.","Tucson","7-8",85742,"579-4600","http://www.maranausd.org/tm","Jane D'Amore"
"D","Marana Unified School District","Twin Peaks Elementary School","7995 W. Twin Peaks Rd.","Tucson","K-6",85743,"579-4750","http://www.maranausd.org/TP","Jane Ballesteros"
"D","Pima Accommodation School District","CAPE School - Adult","1270 W. Silverlake","Tucson","8-12",85713,"547-8259",,"Mark Jones"
"D","Pima Accommodation School District","CAPE School - Juvenile","2225 E. Ajo Way","Tucson","3-12",85713,"740-4704",,"Mark Jones"
"D","Sahuarita Unified School District","Sahuarita High School","350 W. Sahuarita Rd.","Sahuarita","9-12",85629,"625-3502","http://www.sahuarita.k12.az.us/shs.html","Larry McKee"
"D","Sahuarita Unified School District","Sahuarita Intermediate School","350 W. Sahuarita Rd.","Sahuarita","3-5",85629,"625-3502","http://www.sahuarita.k12.az.us/sis.html","Wayne Ross"
"D","Sahuarita Unified School District","Sahuarita Middle School","350 W. Sahuarita Rd.","Sahuarita","6-8",85629,"625-3502","http://www.sahuarita.k12.az.us/sms.html","Katherin Shiba"
"D","Sahuarita Unified School District","Sahuarita Primary School","350 W. Sahuarita Rd.","Sahuarita","PreK-2",85629,"625-3502","http://www.sahuarita.k12.az.us/sps.html","Barbara Smith"
"D","Sahuarita Unified School District","Sopori Elementary School","5000 W. Arivaca Rd.","Amado","K-5",85645,"398-2239","http://www.sahuarita.k12.az.us/sop.html","Charles Oldham"
"D","San Fernando Elementary District","San Fernando Elementary School","1 Schoolhouse Dr.","Sasabe","K-8",85633,"823-4243",,"Corinne Embry"
"D","Sunnyside Unified School District","Apollo Middle School","265 W. Nebraska","Tucson","6-8",85706,"545-4500","http://www.sunnysideud.k12.az.us/schools/apollo.asp","Wendy Conger"
"D","Sunnyside Unified School District","Challenger Middle School","100 E. Elvira Rd.","Tucson","6-8",85706,"545-4600","http://www.sunnysideud.k12.az.us/schools/challenger.asp","Jud Jones"
"D","Sunnyside Unified School District","Chaparral Middle School","3700 E. Alvord Rd.","Tucson","6-8",85706,"545-4700","http://www.sunnysideud.k12.az.us/schools/chaparral.asp","Norma Garcia"
"D","Sunnyside Unified School District","Craycroft Elementary School","5455 E. Littletown Rd.","Tucson","K-5",85706,"545-2600","http://www.sunnysideud.k12.az.us/schools/craycroft.asp","Hans Schot"
"D","Sunnyside Unified School District","Desert View High School","4101 E. Valencia Rd.","Tucson","9-12",85706,"545-5100","http://www.sunnysideud.k12.az.us/schools/desertview.asp","Jonathan Hanson"
"D","Sunnyside Unified School District","Drexel Elementary School","801 E. Drexel Rd.","Tucson","K-5",85706,"545-2700","http://www.sunnysideud.k12.az.us/schools/drexel.asp","Lorena Escarcega"
"D","Sunnyside Unified School District","Elvira Elementary School","250 W. Elvira Rd.","Tucson","K-5",85706,"545-2800","http://www.sunnysideud.k12.az.us/schools/elvira.asp","Mary Jane Santos"
"D","Sunnyside Unified School District","Esperanza Elementary School","2353 E. Bantam Rd.","Tucson","K-5",85706,"545-2900","http://www.sunnysideud.k12.az.us/schools/esperanza.asp","Emma Carrillo"
"D","Sunnyside Unified School District","Gallego Basic Elementary School","5102 S. Cherry Ave.","Tucson","K-5",85706,"545-3000","http://www.sunnysideud.k12.az.us/schools/gallego.asp","Debra Bergman"
"D","Sunnyside Unified School District","Liberty Elementary School","5495 S. Liberty Ave.","Tucson","K-5",85706,"545-3100","http://www.sunnysideud.k12.az.us/schools/liberty.asp","Bernie Cohn"
"D","Sunnyside Unified School District","Los Amigos Elementary School","2200 E. Drexel Rd.","Tucson","K-5",85706,"545-3200","http://www.sunnysideud.k12.az.us/schools/losamigos.asp","Pam Betten"
"D","Sunnyside Unified School District","Los Ninos Elementary School","5445 S. Alvernon Way","Tucson","K-5",85706,"545-3300","http://www.sunnysideud.k12.az.us/schools/losninos.asp","Sally Lewis"
"D","Sunnyside Unified School District","Los Ranchitos Elementary School","2054 E. Ginter Rd.","Tucson","K-5",85706,"545-3400","http://www.sunnysideud.k12.az.us/schools/losranchitos.asp","Kathleen Bethel"
"D","Sunnyside Unified School District","Mission Manor Elementary School","600 W. Santa Rosa St.","Tucson","K-5",85706,"545-3500","http://www.sunnysideud.k12.az.us/schools/missionmanor.asp","Herb Springs"
"D","Sunnyside Unified School District","Ocotillo Elementary School","5702 S. Campbell","Tucson","K-5",85706,"545-3600","http://www.sunnysideud.k12.az.us/schools/ocotillo.asp","Steve Price"
"D","Sunnyside Unified School District","S.T.A.R. Academic Center","5101 S. Liberty Ave.","Tucson","6-12",85706,"545-2300","http://www.sunnysideud.k12.az.us/schools/alted.asp","Pamela Cornell"
"D","Sunnyside Unified School District","Santa Clara Elementary School","6910 S. Santa Clara Ave.","Tucson","K-5",85706,"545-3700","http://www.sunnysideud.k12.az.us/schools/santaclara.asp","Raul Ochoa"
"D","Sunnyside Unified School District","Sierra Middle School","5801 S. Del Moral Blvd.","Tucson","6-8",85706,"545-4800","http://www.sunnysideud.k12.az.us/schools/sierra.asp","Robert Miranda"
"D","Sunnyside Unified School District","Summit View Elementary School","1900 E. Summit St.","Tucson","K-5",85706,"545-3800","http://www.sunnysideud.k12.az.us/schools/summitview.asp","Roxana Sanders"
"D","Sunnyside Unified School District","Sunnyside High School","1725 E. Bilby Rd.","Tucson","9-12",85706,"545-5300","http://www.sunnysideud.k12.az.us/schools/sunnyside.asp","Raul Nido"
"D","Tanque Verde Unified School District","Agua Caliente School","11420 E. Limberlost","Tucson","K-6",85749,"749-2235","http://www.tanq.org/tvsd/aces/agua.html","Diane Lemley"
"D","Tanque Verde Unified School District","Emily Gray Junior High School","4201 N. Melpomene","Tucson","7-9",85749,"749-3838","http://www.tanq.org/tvsd/egray/egray.html","Bob Lombardi"
"D","Tanque Verde Unified School District","Tanque Verde Elementary School","2600 N. Fennimore","Tucson","K-6",85749,"749-4244","http://www.tanq.org/tvsd/tves/tvhome.html","Susan Centers"
